Ref,Val,Package,PosX,PosY,Rot,Side
"DHT1","","MA04-1_162",121.126100,-125.791100,180.000000,bottom
"E0-MOT0","","MA04-1",92.551100,-159.763600,-90.000000,bottom
"X+0","","MA03-1",147.161100,-159.763600,-90.000000,bottom
"X-0","","MA03-1",149.701100,-159.763600,-90.000000,bottom
"X-MOT0","","MA04-1",91.281100,-142.618600,-90.000000,bottom
"X1","MCV2","MCV2_vf.d_1rUHK0Shi_65Gy64O6ZQ",167.798600,-161.033600,0.000000,bottom
"X2","MCV2","MCV2_vf.d_1rUHK0Shi_65Gy64O6ZQ",212.248600,-161.033600,0.000000,bottom
"X4","","MCV5_vf.d_1rUHK0Shi_65Gy64O6ZQ",123.031100,-48.003600,180.000000,bottom
"X5","","MCV7_vf.d_1rUHK0Shi_65Gy64O6ZQ",97.631100,-48.003600,180.000000,bottom
"X6","MCV2","MCV2_vf.d_1rUHK0Shi_65Gy64O6ZQ",191.928600,-161.033600,0.000000,bottom
"X7","MCV2","MCV2_vf.d_1rUHK0Shi_65Gy64O6ZQ",177.958600,-161.033600,0.000000,bottom
"X10","","MCV4",150.971100,-56.893600,180.000000,bottom
"Y+0","","MA03-1",152.241100,-159.763600,-90.000000,bottom
"Y-0","","MA03-1",154.781100,-159.763600,-90.000000,bottom
"Y-MOT0","","MA04-1",91.281100,-121.663600,-90.000000,bottom
"Z+0","","MA03-1",157.321100,-159.763600,-90.000000,bottom
"Z-MOT1","","MA04-1",98.901100,-138.808600,90.000000,bottom
"Z-STOP1","","MA03-1",138.271100,-159.763600,-90.000000,bottom
