Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","PANASONIC_B_334",166.211100,-67.053600,180.000000,top
"C2","100u","PANASONIC_D_334",213.836100,-124.203600,90.000000,top
"C3","100u","PANASONIC_D_334",172.878600,-169.897600,90.000000,top
"C4","100n","C0805_334",142.398600,-111.821100,180.000000,top
"C5","10u","PANASONIC_B_334",166.211100,-62.608600,180.000000,top
"C6","100u","PANASONIC_D_334",164.941100,-75.943600,0.000000,top
"C7","10u","PANASONIC_B_334",109.061100,-63.243600,180.000000,top
"C8","10u","PANASONIC_B_334",115.411100,-105.153600,90.000000,top
"C9","100n","C0805_334",209.391100,-125.473600,-90.000000,top
"C10","10u","PANASONIC_B_334",162.401100,-51.813600,0.000000,top
"C11","100n","C0805",150.971100,-166.113600,90.000000,top
"C12","100n","C0805",148.431100,-166.113600,90.000000,top
"C13","100n","C0805",156.051100,-166.113600,90.000000,top
"C14","100n","C0805",153.511100,-166.113600,90.000000,top
"C15","100u","PANASONIC_D_334",89.985100,-41.653600,0.000000,top
"C16","100n","C0805",158.591100,-166.113600,90.000000,top
"C17","100n","C0805_334",146.526100,-132.141100,0.000000,top
"C18","100n","C0805_334",158.591100,-111.186100,90.000000,top
"C19","100n","C0805_334",139.223600,-112.456100,90.000000,top
"C20","22p","C0805_334",164.306100,-131.823600,180.000000,top
"C21","22p","C0805_334",164.306100,-136.903600,180.000000,top
"C22","100p","C0805_334",147.796100,-135.316100,90.000000,top
"C23","100n","C0805_334",214.153600,-136.903600,0.000000,top
"C24","100n","C0805_334",212.883600,-129.283600,0.000000,top
"C25","100n","C0805_334",84.296100,-63.243600,0.000000,top
"C26","100n","C0805_334",89.693600,-72.768600,-90.000000,top
"C27","10u","PANASONIC_B_334",78.581100,-63.243600,180.000000,top
"C28","680p","C0805_334",183.038600,-140.713600,90.000000,top
"C29","100n","C0805_334",193.833600,-136.903600,0.000000,top
"C30","22n","C0805_334",192.563600,-129.283600,0.000000,top
"C31","100n","C0805_334",99.536100,-63.243600,0.000000,top
"C32","100n","C0805_334",104.933600,-72.768600,-90.000000,top
"C33","680p","C0805_334",203.358600,-141.031100,90.000000,top
"C34","10u","PANASONIC_B_334",93.821100,-63.243600,180.000000,top
"C35","100n","C0805_334",114.776100,-63.243600,0.000000,top
"C36","100n","C0805_334",120.173600,-72.768600,-90.000000,top
"C37","100u","PANASONIC_D_334",206.851100,-100.073600,-90.000000,top
"C38","100u","PANASONIC_D_334",206.851100,-61.021100,-90.000000,top
"C39","100u","PANASONIC_D_334",206.851100,-69.593600,90.000000,top
"C40","470u","E5-10,5_334",79.851100,-105.788600,180.000000,top
"C41","100n","C0805",203.358600,-94.358600,90.000000,top
"C42","100n","C0805",200.183600,-70.228600,-90.000000,top
"C43","100n","C0805",202.088600,-70.228600,-90.000000,top
"C44","100n","C0805",138.271100,-166.113600,90.000000,top
"C45","100n","C0805",142.081100,-166.113600,90.000000,top
"C46","22n","C0805_334",101.441100,-98.803600,-90.000000,top
