"Part";"Value";"Device";"Package";"Description";"CREATED_BY";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"FRES";"GENDER";"HEIGHT";"IR";"ISAT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MATES-WITH";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART-NUMBER";"PARTREV";"PINS";"POPULARITY";"PROD_ID";"RDC-MAX";"RDC-TYPE";"SF_ID";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";"STANDARD";"TYPE";"VALUE";
"C1";"10u";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"C";"";"";"";"";
"C2";"100u";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16";"";"";"";"";"";"C";"";"";"";"";
"C3";"100u";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16";"";"";"";"";"";"C";"";"";"";"";
"C4";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";"";
"C5";"10u";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"C";"";"";"";"";
"C6";"100u";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16";"";"";"";"";"";"C";"";"";"";"";
"C7";"10u";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"C";"";"";"";"";
"C8";"10u";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"C";"";"";"";"";
"C9";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";"";
"C10";"10u";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"C";"";"";"";"";
